180,0
435,0
699,1
965,1
1202,1
1465,1
1732,2
1969,1
2232,-1
2499,0
2734,1
2999,2
3265,4
3500,5
3765,4
4032,3
4267,2
4532,1
4799,0
5034,0
5299,-8
5565,-7
5799,-7
6065,-3
6332,4
6565,9
6832,9
7099,8
7332,8
7599,4
7865,-4
8099,-6
8365,-6
8632,-6
8865,-7
9133,-8
9398,-9
9633,-9
9899,-9
10165,-11
10400,-11
10665,-10
10931,-10
11165,-5
11433,3
11697,5
11932,6
12199,6
12464,6
12699,7
12965,7
13230,9
13465,16
13733,16
13996,16
14232,16
14499,16
14762,17
14999,17
15266,17
15529,17
15765,17
16032,18
16296,18
16532,18
16799,18
17061,18
17299,18
17566,17
17827,17
18065,14
18332,15
18593,15
18832,22
19099,23
19336,23
19600,22
19865,22
20104,17
20365,12
20632,11
20869,11
21132,6
21399,-2
21635,-4
21899,-3
22166,-3
22401,1
22665,8
22932,17
23169,24
23432,31
23699,31
23934,31
24199,31
24465,31
24700,31
24965,31
25233,31
25467,31
25732,31
26000,31
26233,31
26500,31
26765,31
26999,31
27266,31
27532,30
27766,30
28032,28
28299,20
28532,13
28799,5
29065,-1
29299,-1
29565,1
29832,9
30065,17
30332,23
30598,22
30833,22
31100,20
31365,12
31599,4
31865,-4
32131,-6
32365,-6
32632,-6
32897,-7
33132,-8
33399,-15
33663,-14
33900,-14
34165,-8
34429,-1
34665,6
34932,6
35196,7
35433,7
35699,8
35962,8
36199,8
36466,8
36729,7
36965,7
37232,4
37494,-3
37732,-6
37999,-6
38262,-5
38499,3
38765,11
39004,18
39265,22
39532,22
39771,22
40032,22
40299,22
40536,22
40799,22
41065,22
41303,22
41565,22
41832,22
42070,22
42332,22
42599,22
42835,22
43099,22
43365,22
43601,22
43865,22
44132,22
44369,22
44632,22
44899,22
45134,22
45399,22
45665,21
45901,21
46165,19
46432,12
46666,4
46933,-4
47199,-9
47433,-9
47699,-7
47965,0
48199,8
48466,16
48732,24
48966,31
49232,33
49500,32
49733,32
50000,24
50266,17
50499,14
50766,14
51032,13
51265,13
51532,13
51798,13
52032,13
52299,13
52564,12
52799,12
53066,11
53331,3
53565,-4
53832,-7
54097,-7
54332,-6
54599,-6
54863,-3
55099,0
55365,0
55629,0
55865,0
56132,0
56397,0
56632,0
56899,0
57162,0
57399,0
57665,0
57928,0
